datetime,pm25_current,temperature,humidity,precipitation,pm25_next
2024-08-31 23:00:00,32.1,28.09,75.37,0.0,39.2
2024-09-01 00:00:00,39.2,28.09,75.37,0.0,23.8
2024-09-01 01:00:00,23.8,27.71,76.67,0.0,20.8
2024-09-01 02:00:00,20.8,27.27,79.2,0.0,20.0
2024-09-01 03:00:00,20.0,26.74,81.7,0.0,18.9
2024-09-01 04:00:00,18.9,26.3,84.17,0.0,20.0
2024-09-01 06:00:00,20.0,27.07,83.87,0.0,20.8
2024-09-01 07:00:00,20.8,28.45,77.59,0.0,20.7
2024-09-01 08:00:00,20.7,30.91,67.48,0.08,20.9
2024-09-01 09:00:00,20.9,32.15,63.65,0.05,21.0
2024-09-01 10:00:00,21.0,33.1,61.47,0.05,21.4
2024-09-01 11:00:00,21.4,33.83,59.76,0.07,22.2
2024-09-01 12:00:00,22.2,34.3,58.51,0.06,22.7
2024-09-01 13:00:00,22.7,34.45,57.98,0.05,25.2
2024-09-01 14:00:00,25.2,34.36,58.21,0.06,25.3
2024-09-01 15:00:00,25.3,34.01,59.84,0.06,21.6
2024-09-01 16:00:00,21.6,33.72,61.92,0.04,20.3
2024-09-01 18:00:00,20.3,31.0,77.72,0.02,18.2
2024-09-01 19:00:00,18.2,30.57,77.19,0.01,15.8
2024-09-01 20:00:00,15.8,29.62,82.41,0.01,15.3
2024-09-01 21:00:00,15.3,28.69,86.61,0.01,15.8
2024-09-01 22:00:00,15.8,28.09,88.29,0.02,17.1
2024-09-01 23:00:00,17.1,27.63,89.29,0.07,19.2
2024-09-02 00:00:00,19.2,27.22,90.31,0.18,19.3
2024-09-02 01:00:00,19.3,26.82,91.44,0.26,19.7
2024-09-02 02:00:00,19.7,26.37,93.04,0.24,18.5
2024-09-02 03:00:00,18.5,26.0,94.87,0.24,18.4
2024-09-02 04:00:00,18.4,25.79,96.24,0.27,17.7
2024-09-02 05:00:00,17.7,25.8,96.72,0.4,19.1
2024-09-02 07:00:00,19.1,27.5,91.65,0.73,18.5
2024-09-02 08:00:00,18.5,27.94,89.43,20.13,17.0
2024-09-02 09:00:00,17.0,28.13,88.17,20.94,17.2
2024-09-02 13:00:00,17.2,28.61,80.3,9.66,18.6
2024-09-02 14:00:00,18.6,28.48,80.06,6.17,20.0
2024-09-02 15:00:00,20.0,28.25,80.98,4.33,20.0
2024-09-02 16:00:00,20.0,27.85,83.37,3.21,21.3
2024-09-02 18:00:00,21.3,26.33,93.38,1.48,24.8
2024-09-02 19:00:00,24.8,26.04,94.18,0.77,18.9
2024-09-02 21:00:00,18.9,25.63,93.62,0.34,17.3
2024-09-02 22:00:00,17.3,25.43,93.35,0.22,18.6
2024-09-02 23:00:00,18.6,25.33,93.13,0.14,19.0
2024-09-03 00:00:00,19.0,25.28,93.01,0.12,19.7
2024-09-03 01:00:00,19.7,25.25,93.1,0.16,19.5
2024-09-03 02:00:00,19.5,25.13,93.95,0.34,16.8
2024-09-03 06:00:00,16.8,25.73,94.24,0.71,15.4
2024-09-03 07:00:00,15.4,27.14,89.9,2.2,14.4
2024-09-03 08:00:00,14.4,29.25,80.58,8.73,14.3
2024-09-03 09:00:00,14.3,30.62,74.48,10.64,14.1
2024-09-03 10:00:00,14.1,31.68,70.51,11.49,14.5
2024-09-03 11:00:00,14.5,32.33,67.63,11.24,15.7
2024-09-03 13:00:00,15.7,33.05,64.24,11.63,20.9
2024-09-03 15:00:00,20.9,32.6,65.37,11.94,23.9
2024-09-03 16:00:00,23.9,32.11,68.19,7.06,18.9
2024-09-03 17:00:00,18.9,30.99,73.02,4.67,12.5
2024-09-03 18:00:00,12.5,29.56,83.04,4.03,7.38
2024-09-03 19:00:00,7.38,29.0,83.35,3.7,9.88
2024-09-03 20:00:00,9.88,28.46,85.22,3.48,10.2
2024-09-03 21:00:00,10.2,27.94,87.33,4.2,11.6
2024-09-03 22:00:00,11.6,27.52,89.2,3.79,12.1
2024-09-03 23:00:00,12.1,27.13,90.65,4.07,13.9
2024-09-04 00:00:00,13.9,26.79,91.48,3.29,16.4
2024-09-04 01:00:00,16.4,26.46,92.41,2.85,16.9
2024-09-04 02:00:00,16.9,26.13,93.62,6.37,20.2
2024-09-04 04:00:00,20.2,25.53,96.07,14.12,21.3
2024-09-04 05:00:00,21.3,25.38,96.9,16.61,14.9
2024-09-04 11:00:00,14.9,30.77,72.14,18.95,14.3
2024-09-04 12:00:00,14.3,31.18,70.01,21.88,18.1
2024-09-04 13:00:00,18.1,31.35,69.35,18.94,22.7
2024-09-04 14:00:00,22.7,31.22,70.36,14.33,35.1
2024-09-04 15:00:00,35.1,30.87,73.04,10.62,36.0
2024-09-04 16:00:00,36.0,30.49,75.18,8.62,30.3
2024-09-04 20:00:00,30.3,28.5,81.48,2.13,21.5
2024-09-04 23:00:00,21.5,26.29,91.59,1.51,26.5
2024-09-05 00:00:00,26.5,25.79,93.26,1.93,38.1
2024-09-05 01:00:00,38.1,25.39,94.62,1.51,28.2
2024-09-05 03:00:00,28.2,24.97,95.16,3.34,22.7
2024-09-05 04:00:00,22.7,24.85,95.81,2.35,19.3
2024-09-05 05:00:00,19.3,24.77,95.87,0.82,17.6
2024-09-05 06:00:00,17.6,25.49,93.48,0.46,17.8
2024-09-05 08:00:00,17.8,29.08,77.71,0.53,17.1
2024-09-05 09:00:00,17.1,30.61,71.9,0.99,16.7
2024-09-05 10:00:00,16.7,31.74,67.48,2.57,20.6
2024-09-05 13:00:00,20.6,32.92,60.67,1.26,21.1
2024-09-05 14:00:00,21.1,32.43,61.36,0.92,20.2
2024-09-05 15:00:00,20.2,31.9,63.68,1.25,20.7
2024-09-05 16:00:00,20.7,31.26,68.55,3.93,23.1
2024-09-05 17:00:00,23.1,29.94,74.01,1.01,29.9
2024-09-05 18:00:00,29.9,28.22,87.36,3.38,30.1
2024-09-05 19:00:00,30.1,27.53,89.79,2.93,31.3
2024-09-05 20:00:00,31.3,27.02,91.62,9.95,34.8
2024-09-05 21:00:00,34.8,26.59,92.94,15.94,13.7
2024-09-05 23:00:00,13.7,25.95,94.96,43.01,15.5
2024-09-06 00:00:00,15.5,25.71,95.71,55.78,11.7
2024-09-06 02:00:00,11.7,25.42,96.08,51.5,15.8
2024-09-06 16:00:00,15.8,28.57,81.72,9.09,15.1
2024-09-06 17:00:00,15.1,27.59,86.82,5.4,15.1
2024-09-06 18:00:00,15.1,26.6,93.41,4.69,16.3
2024-09-06 19:00:00,16.3,26.23,94.85,4.15,18.1
2024-09-06 20:00:00,18.1,25.96,95.79,3.76,18.3
2024-09-06 21:00:00,18.3,25.77,96.63,6.91,18.6
2024-09-06 23:00:00,18.6,25.67,97.27,12.36,16.1
2024-09-07 01:00:00,16.1,25.55,97.4,15.4,19.3
2024-09-07 02:00:00,19.3,25.45,97.44,16.2,17.7
2024-09-07 05:00:00,17.7,25.14,97.44,11.54,14.6
2024-09-07 06:00:00,14.6,25.66,95.52,6.51,13.3
2024-09-07 07:00:00,13.3,26.45,92.64,5.02,14.6
2024-09-07 08:00:00,14.6,27.32,89.05,3.78,13.3
2024-09-07 09:00:00,13.3,28.17,85.16,6.47,12.6
2024-09-07 11:00:00,12.6,29.49,79.03,17.65,14.9
2024-09-07 12:00:00,14.9,29.65,77.55,20.56,17.8
2024-09-07 13:00:00,17.8,29.63,77.0,16.98,18.6
2024-09-07 15:00:00,18.6,29.19,78.72,5.97,20.0
2024-09-07 16:00:00,20.0,28.74,82.65,3.34,30.1
2024-09-07 18:00:00,30.1,27.45,89.23,0.87,29.4
2024-09-07 19:00:00,29.4,27.29,88.19,0.55,30.5
2024-09-07 22:00:00,30.5,26.72,89.54,0.91,17.8
2024-09-08 05:00:00,17.8,24.94,97.19,0.64,17.6
2024-09-08 06:00:00,17.6,25.89,94.38,0.56,17.7
2024-09-08 07:00:00,17.7,27.05,90.82,1.21,14.6
2024-09-08 09:00:00,14.6,30.23,76.61,3.07,18.1
2024-09-08 10:00:00,18.1,30.96,73.35,3.13,24.1
2024-09-08 11:00:00,24.1,31.52,70.84,2.58,25.1
2024-09-08 12:00:00,25.1,31.94,68.76,2.67,27.4
2024-09-08 13:00:00,27.4,32.19,66.98,2.12,35.4
2024-09-08 14:00:00,35.4,32.24,65.95,1.22,36.2
2024-09-08 15:00:00,36.2,31.99,66.22,0.86,32.0
2024-09-08 16:00:00,32.0,31.46,68.52,0.61,41.0
2024-09-08 17:00:00,41.0,30.57,72.12,0.23,43.2
2024-09-08 18:00:00,43.2,29.58,79.22,0.12,47.9
2024-09-08 19:00:00,47.9,29.11,78.77,0.04,40.2
2024-09-08 20:00:00,40.2,28.52,80.63,0.04,41.8
2024-09-08 21:00:00,41.8,27.92,84.52,0.09,39.4
2024-09-08 22:00:00,39.4,27.31,88.51,0.12,39.4
2024-09-08 23:00:00,39.4,26.92,90.96,0.35,42.0
2024-09-09 00:00:00,42.0,26.66,92.26,0.5,28.5
